Rude/Agressive_C,Emotive_C,Perceptive_C,Social_C,Friendly_C,Negative_C,Positive_C,Confrontational_C,Indecisive_C,Selfish_C,Rude/Agressive_I,Emotive_I,Perceptive_I,Social_I,Friendly_I,Negative_I,Positive_I,Confrontational_I,Indecisive_I,Selfish_I
0,0,0,0,0,0,0,0,0,0,0,0,45,9,0,18,0,0,18,0
0,1,7,15,1,0,1,38,11,21,1,3,4,6,1,1,3,27,11,38
1,4,7,8,1,3,3,38,17,14,1,4,4,5,1,2,2,24,5,47
1,2,3,8,0,1,4,44,14,18,0,2,5,4,0,0,2,34,6,41
0,4,6,10,0,0,7,50,13,3,0,4,4,7,2,0,5,3,7,63
3,4,4,7,0,4,2,46,18,9,1,3,2,5,0,2,1,29,17,36
3,4,4,6,0,3,4,40,19,11,0,3,2,7,0,1,2,27,10,42
1,2,8,11,1,1,4,38,15,16,0,3,3,5,0,1,1,15,6,60
1,3,7,9,0,3,3,32,15,21,3,4,3,5,0,3,1,25,7,44
3,3,6,11,1,2,2,44,13,10,1,2,4,6,0,1,1,31,9,39
1,6,4,13,0,2,5,36,12,15,1,4,3,10,0,2,2,21,8,44
2,2,7,6,1,2,2,38,14,20,0,2,3,7,2,0,2,24,11,44
1,1,5,7,0,1,1,50,14,15,1,2,5,8,1,1,2,43,12,21
1,3,6,12,1,2,4,32,13,21,1,3,4,8,0,1,3,32,9,35
3,4,5,12,0,4,2,36,10,19,0,2,2,6,0,1,2,31,8,43
0,4,5,5,1,2,2,28,9,40,2,3,3,7,0,3,2,19,11,44
2,5,7,12,1,4,4,33,17,10,1,3,2,10,1,2,2,32,7,35
2,3,4,7,0,3,3,46,13,14,0,4,2,5,0,0,3,32,4,45
1,3,10,12,0,1,4,34,14,14,1,3,3,8,0,1,2,17,7,54
2,3,7,9,0,2,2,44,17,10,1,2,5,7,0,2,1,33,12,30
2,3,7,13,1,3,2,34,13,18,1,3,3,8,1,1,2,31,8,38
2,2,6,7,0,2,1,40,12,23,1,1,2,8,0,1,1,26,7,49
2,2,4,10,0,2,1,41,11,20,1,1,4,7,1,0,1,23,5,52
4,5,4,8,0,4,1,45,11,12,2,3,5,5,0,3,1,31,11,34
3,3,8,11,2,4,2,35,15,13,1,1,5,10,1,2,0,35,9,31
3,3,8,9,0,4,2,33,15,19,0,1,5,7,0,0,0,37,9,36
0,6,9,14,2,5,2,32,10,13,0,2,5,12,0,1,2,31,9,32
1,1,5,9,1,1,2,39,15,20,0,3,2,6,0,1,2,18,8,55
0,2,6,8,0,0,2,52,14,11,1,2,3,4,0,1,1,23,7,53
5,4,7,5,0,5,2,41,11,13,1,3,2,7,0,2,2,12,6,60
2,2,6,11,1,2,1,34,9,27,2,2,5,8,1,1,1,30,8,36
1,3,6,12,0,2,3,36,13,18,1,3,3,9,0,1,1,29,8,41
1,1,6,9,0,0,1,37,21,19,1,1,5,8,1,1,1,38,11,28
5,5,6,12,0,7,1,41,12,7,2,3,5,7,0,2,2,46,9,19
2,5,6,12,0,1,5,45,10,9,2,3,2,11,0,1,2,28,6,41
0,3,10,8,0,1,1,42,10,19,1,3,4,11,0,2,2,32,8,31
